"id","name","x","y","cod_reg","month1","month2","month3","month4","month5","month6","month7","month8","month9","month10","month11","month12","month1_covid","month2_covid","month3_covid","month4_covid","month5_covid","month6_covid","month7_covid","month8_covid","month9_covid","month10_covid","month11_covid","month12_covid"
1001,"Agliè",7.77344032102021,45.3649145495194,1,0.00182288354741617,0.00186527618805375,0.00139895714104032,0.00063588960956378,0.00139895714104032,0.00135656450040273,0.00190766882869134,0.00148374242231549,0.00161092034422824,0.00165331298486583,0.00186527618805375,0.00169570562550341,0.00152613506295307,0.00305227012590614,0.00343380389164441,0.000381533765738268,0.00152613506295307,0.00228920259442961,0.00190766882869134,0.0011446012972148,0.00190766882869134,0.00152613506295307,0.00381533765738268,0.00381533765738268
1002,"Airasca",7.49048621228838,44.9214935837696,1,0.000864677907479464,0.00067938978444815,0.000586745722932493,0.000494101661416836,0.000617627076771046,0.000710271138286702,0.000772033845963807,0.000741152492125255,0.000648508430609598,0.000864677907479464,0.00067938978444815,0.000710271138286702,0.000833796553640912,0,0.000833796553640912,0.00222345747637576,0.000833796553640912,0.00111172873818788,0.000555864369093941,0.000555864369093941,0.00111172873818788,0.00138966092273485,0.00166759310728182,0.000833796553640912
1003,"Ala di Stura",7.28521173377309,45.3100800442687,1,0.00100781053162006,0.000251952632905014,0.0017636684303351,0.000503905265810028,0.000503905265810028,0.00125976316452507,0.00100781053162006,0.000755857898715042,0.00100781053162006,0.0017636684303351,0.000503905265810028,0.00100781053162006,0.00226757369614512,0.00453514739229025,0.00453514739229025,0,0,0.0090702947845805,0,0,0,0.00226757369614512,0.00453514739229025,0
1004,"Albiano d'Ivrea",7.94373125383363,45.4281175729456,1,0.00155447418221141,0.0008110300081103,0.00121654501216545,0.00195998918626656,0.00108137334414707,0.000878615842119492,0.00148688834820222,0.00141930251419303,0.00101378751013788,0.000675858340091917,0.00108137334414707,0.00135171668018383,0.000608272506082725,0.00182481751824818,0.00182481751824818,0.000608272506082725,0.000608272506082725,0.00121654501216545,0.00121654501216545,0.00121654501216545,0.000608272506082725,0,0.00182481751824818,0.00121654501216545
1006,"Almese",7.423837084918,45.1163260970281,1,0.00112390635266452,0.000899125082131618,0.000674343811598714,0.000570598609814296,0.000950997683023827,0.00082996161427534,0.000743507279454992,0.000760798146419061,0.000847252481239409,0.000743507279454992,0.000881834215167549,0.000985579416951966,0.00140056022408964,0.000778089013383131,0.00186741363211951,0.00108932461873638,0.000466853408029879,0.000622471210706505,0.000933706816059757,0.000311235605353252,0.00124494242141301,0.00108932461873638,0.00280112044817927,0.000933706816059757
1007,"Alpette",7.58120442089513,45.4060819491183,1,0.000896057347670251,0.003584229390681,0.00403225806451613,0.00268817204301075,0.0017921146953405,0.00224014336917563,0.00134408602150538,0.0017921146953405,0.000448028673835125,0.00224014336917563,0.000448028673835125,0.000448028673835125,0.00806451612903226,0,0.00403225806451613,0.00403225806451613,0.00806451612903226,0.00403225806451613,0,0,0.00806451612903226,0,0.0120967741935484,0.00403225806451613
1008,"Alpignano",7.51454922918882,45.1050728861196,1,0.00116717484672634,0.000924559850496705,0.00100324579521983,0.000891774040195403,0.000990131471099308,0.000839316743713321,0.000937674174617226,0.00100324579521983,0.000898331202255664,0.000963902822858267,0.000924559850496705,0.000885216878135143,0.00112127471230451,0.00118028917084686,0.00171141929772794,0.00312776630274417,0.0012393036293892,0.000649159043965772,0.00118028917084686,0.000649159043965772,0.00106226025376217,0.00147536146355857,0.00194747713189731,0.00141634700501623
1009,"Andezeno",7.86511261269376,45.0354284002347,1,0.00103435135282269,0.000979911807937286,0.000816593173281071,0.000925472263051881,0.000489955903968643,0.000762153628395667,0.000871032718166476,0.000326637269312429,0.000762153628395667,0.000816593173281071,0.0010887908977081,0.000816593173281071,0.000489955903968643,0.00146986771190593,0.000489955903968643,0.000979911807937286,0,0.00146986771190593,0.00244977951984321,0.000979911807937286,0.000979911807937286,0,0,0.000489955903968643
1010,"Andrate",7.88979874205299,45.550159903961,1,0.001806684733514,0.001806684733514,0.0013550135501355,0.00112917795844625,0.0022583559168925,0.000903342366757001,0.00112917795844625,0.000903342366757001,0.000677506775067751,0.0013550135501355,0.0013550135501355,0.000903342366757001,0,0.0040650406504065,0.0040650406504065,0.00203252032520325,0.00203252032520325,0,0,0.00203252032520325,0.00203252032520325,0.00203252032520325,0,0
1011,"Angrogna",7.18303531782315,44.8541352818669,1,0.00170738114000525,0.00105069608615708,0.00118203309692671,0.000919359075387444,0.00052534804307854,0.000919359075387444,0.000919359075387444,0.00118203309692671,0.000788022064617809,0.000788022064617809,0.00183871815077489,0.00118203309692671,0.00118203309692671,0.00118203309692671,0.00354609929078014,0.00236406619385343,0.00118203309692671,0,0.00236406619385343,0.00118203309692671,0,0,0.00118203309692671,0.00118203309692671
1012,"Arignano",7.89916070371816,45.0325013376241,1,0.000719498406824956,0.000822283893514236,0.000719498406824956,0.000925069380203515,0.000411141946757118,0.000513927433446397,0.000719498406824956,0.000513927433446397,0.000308356460067838,0.000513927433446397,0.000822283893514236,0.000822283893514236,0.000925069380203515,0.000925069380203515,0.000925069380203515,0,0.000925069380203515,0.000925069380203515,0,0,0.000925069380203515,0.00185013876040703,0,0
